Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Sagaras;49978;2;Jarang dipinjam
Strategi belajar mengajar di kelas;1826,1;1;Jarang dipinjam
Profesionalisme Guru di Era Industri 4.0;48582;1;Jarang dipinjam
Jingga untuk matahari;50817;1;Jarang dipinjam
Janji;49892;4;Sering dipinjam
Belajar & pembelajaran;19110;1;Jarang dipinjam
Interaksi & motivasi belajar mengajar;40408;1;Jarang dipinjam
Sukses menjadi guru humoris dan idola yang akan dikenang sepanjang massa;1864,1;1;Jarang dipinjam
Berjuta rasanya;50637;6;Sering dipinjam
Harga sebuah percaya;49783;5;Sering dipinjam
Matahari minor;49942;4;Sering dipinjam
Menjadi guru penggerak merdeka pelajar;49790;2;Jarang dipinjam
Merdeka belajar menjadi manusia autentik;48075;1;Jarang dipinjam
Rahasia jadi guru favorit-inspiratif;21049;2;Jarang dipinjam
Kode etik profesi guru;1894,1;1;Jarang dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
Pulang pergi;49777;4;Sering dipinjam
PENGAJARAN PRAGMATIK;738apbn3.4;3;Sering dipinjam
Analisis wacana pragmatik;832pb3.1;1;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178SM3;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50058;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
Ekonomika Makro Edisi Revis;u0000141;7;Sering dipinjam
Ekonomika Makro Edisi Revis;u0000143;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410006;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33972;4;Sering dipinjam
Ekonomi kelautan;1283.3.1;1;Jarang dipinjam
Manajemen Pembangunan Kepulauan dan Pesisir;43569;1;Jarang dipinjam
Ekonomi maritim indonesia;25160;2;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33974;4;Sering dipinjam
Konflik nelayan;1520,6;1;Jarang dipinjam
Perikanan berkelanjutan;49843;1;Jarang dipinjam
Pengelolaan perikanan indonesia;161SM3;1;Jarang dipinjam
Hukum laut konservasi sumber daya ikan di Indonesia;45307;3;Sering dipinjam
Konsep blue economy sumber pertumbuhan baru di indonesia;47247;1;Jarang dipinjam
Paradigma baru pembangunan Indonesia berbasis kelautan;28304;1;Jarang dipinjam
Hukum laut internasional dan hukum laut Indonesia;1544,3;1;Jarang dipinjam
Pelabuhan Perikanan;36344;2;Jarang dipinjam
teori akuntasi suatu pengantar;24663;2;Jarang dipinjam
Korban-korban pembangunan;40869;1;Jarang dipinjam
Ekonomi archipelago ed.2;47611;1;Jarang dipinjam
Blue ocean strategy;45727;1;Jarang dipinjam
Konsep blue economy sumber pertumbuhan baru di indonesia;47246;2;Jarang dipinjam
Memahami penelitian kualitatif;33577;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
Metode penelitian manajemen;36659;3;Sering dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49433;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48190;5;Sering dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
Rindu;50693;4;Sering dipinjam
Bunga Rampai Pembangunan EKONOMI PESISIR;1461;1;Jarang dipinjam
Ekonomi maritim indonesia;25159;1;Jarang dipinjam
Bunga Rampai Pembangunan EKONOMI PESISIR;43824;1;Jarang dipinjam
Media pembelajaran;33596;3;Sering dipinjam
MEDIA PEMBELAJARAN;637,2;1;Jarang dipinjam
Biologi Kelautan;48685;1;Jarang dipinjam
Memahami penelitian kualitatif;30081;1;Jarang dipinjam
METODOLOGI PENELITIAN BISNIS DAN EKONOMI PENDEKATAN KUANTITATIF;38001;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;18974;7;Sering dipinjam
Memahami penelitian kualitatif;30088;1;Jarang dipinjam
kontroversi kematian hilter dan sepak terjangnya pada dunia;23095;1;Jarang dipinjam
Konservasi ekosistem sumber daya hayati di wilayah pesisir dan laut tropis;48741;1;Jarang dipinjam
Mewujudkan poros maritim dunia;17121;1;Jarang dipinjam
Blue ocean strategy;45726;1;Jarang dipinjam
Coral Reef Management Handbook;35256;1;Jarang dipinjam
POROS MARITIM;p118.1;1;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50060;9;Sering dipinjam
Toponimi asal-usul nama daerah kota Tanjungpinang;34065;1;Jarang dipinjam
Apresiasi puisi;A003001;2;Jarang dipinjam
cerdas cermat pantun;30422;1;Jarang dipinjam
Wajah kauman surakarta 1910-1930;47139;1;Jarang dipinjam
Melatih otak anak berpikir holistik;22124;1;Jarang dipinjam
Sosiologi keluarga;39633;1;Jarang dipinjam
Sosiologi gender;48217;2;Jarang dipinjam
SOSIOLOGI KELUARGA;29420;2;Jarang dipinjam
Sosiologi wanita;083PB3.1;1;Jarang dipinjam
Perekonomian Indonesia;306PB3.2;1;Jarang dipinjam
Kelembagaan Wirausaha Sektor Industri Menengah dan Kecil;48810;1;Jarang dipinjam
sistem ekonomi indonesia;47;1;Jarang dipinjam
SISTEM DAN MORAL EKONOMI INDONESIA;922APBN3.1;1;Jarang dipinjam
Ekonomika Industri Indonesia, Menuju Negara Industri Baru 2030 ?;15.559.1;1;Jarang dipinjam
Manajemen bisnis ritel;34162;1;Jarang dipinjam
Perencanaan pengajaran;40753;1;Jarang dipinjam
Cara Mudah Belajar Statistika Pendidikan;44874;1;Jarang dipinjam
MANAJEMEN SUMBER DAYA MANUSIA;12.315.1;1;Jarang dipinjam
Manajemen strategi;42854;1;Jarang dipinjam
Manajemen sumber daya manusia;29910;1;Jarang dipinjam
KOMUNIKASI PENJUALAN MENUJU PRAMUNIAGA JUARA;38043;1;Jarang dipinjam
Manajemen sumber daya manusia;49118;1;Jarang dipinjam
Manajemen sumber daya manusia;35266;1;Jarang dipinjam
MANAJEMEN OPERASI INTERNASIONAL;24605;1;Jarang dipinjam
Manajemen proyek sistem informasi sebagai solusi penjadwalan proyek;47856;1;Jarang dipinjam
Akuntansi Manajerial Accounting Managerial;39911;6;Sering dipinjam
Seni bijak berbicara refleksi untuk selalu berucap baik dan bermanfaat;50737;2;Jarang dipinjam
Mahika;49920;8;Sering dipinjam
3 Kitab undang-undang hukum KUHPER KUHP KUHAP;49661;4;Sering dipinjam
3 Kitab undang-undang hukum KUHPER KUHP KUHAP;49660;3;Sering dipinjam
Dasar-dasar akuntansi jilid 1;28624;2;Jarang dipinjam
Teori-teori kebudayaan dari teori hingga aplikasi;41348;1;Jarang dipinjam
Manusia & kebudayaan dalam perspektif ilmu budaya dasar;22665;1;Jarang dipinjam
Teori-teori kebudayaan dari teori hingga aplikasi;39269;2;Jarang dipinjam
Representasi Identitas Dalam Masyarakat Multikultural;44587;1;Jarang dipinjam
Etika;31326;2;Jarang dipinjam
EKOLOGI, LINGKUNGAN HIDUP DAN PEMBANGUNAN;24063;1;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;1756,3;7;Sering dipinjam
Aglomerasi industri makanan dan minuman di Jawa Timur;25234;1;Jarang dipinjam
MANAJEMEN SUMBER DAYA MANUSIA;337APBN3.5;1;Jarang dipinjam
Strategi pemasaran;2424,6;1;Jarang dipinjam
Ilmu Budaya Dasar : Pengantar Ke Arah Ilmu Sosial Budaya Dasar / ISBD/ Social Culture;2806,1;1;Jarang dipinjam
BUDAYA ORGANISASI ED. KEDUA;24018;1;Jarang dipinjam
Pengantar sistem sosial budaya di Indonesia;1503,3;1;Jarang dipinjam
Sosiologi masyarakat perkotaan fenomenologi permukiman padat huni di Jakarta;49267;1;Jarang dipinjam
BURUNG-BURUNG MANYAR;20333;1;Jarang dipinjam
De journal sebuah novel tentang seorang backpaker wanita keliling dunia Edisi 2;46961;1;Jarang dipinjam
new york times bestselling series;50803;4;Sering dipinjam
Teori-teori sosial dalam tiga paradigma;25456;1;Jarang dipinjam
Tantangan lingkungan & lansekap hutan kota;24064;1;Jarang dipinjam
Prinsip-prinsip ekologi akosistem, lingkungan dan pelestariannya;22627;1;Jarang dipinjam
Psikologi kesehatan;47166;1;Jarang dipinjam
Konsep Pengetahuan sikap perilaku persepsi stres kecemasan;49996;1;Jarang dipinjam
Perkembangan Anak Jilid 1;35357;1;Jarang dipinjam
The miracle of vitamin D;50808;1;Jarang dipinjam
Epidemiologi kesehatan lingkungan ed. pertama;49546;1;Jarang dipinjam
Andai sel-sel dalam tubuhmu berbicara;49847;1;Jarang dipinjam
Kimia lingkungan;49029;2;Jarang dipinjam
Sains perubahan iklim;48178;1;Jarang dipinjam
Konservasi laut dalam pendekatan biologi;50683;1;Jarang dipinjam
Ilmu Lingkungan Edisi 2;44800;1;Jarang dipinjam
Biologi  lingkungan;46763;1;Jarang dipinjam
GRAMMAR SUPERFLASH;44271;1;Jarang dipinjam
100 Language functiions for fluent English;2427.3;1;Jarang dipinjam
Cara mudah kuasai grammar;35396;3;Sering dipinjam
Cara mudah belajar basic english grammar;41693;2;Jarang dipinjam
English Skills Booster Grammar Tenses Vocabulary Conversation : Modul Komplet Untuk Latihan Autodidak Bahasa Inggris;45404;5;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;41853;6;Sering dipinjam
Pembelajaran berorientasi AKM (Asesmen Kompetensi Minimum);50710;1;Jarang dipinjam
Strategi belajar mengajar di kelas;1826,2;2;Jarang dipinjam
Evaluasi pembelajaran;37897;3;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32425;5;Sering dipinjam
Akuntansi keuangan jilid 1;2335,4;2;Jarang dipinjam
Bahasa jepang untuk pemula;31612;1;Jarang dipinjam
Ketika tiba kimpulan puisi;18034;1;Jarang dipinjam
Sepotong hati yang baru;49811;5;Sering dipinjam
Cermin Diri Materi Renungan;24140;1;Jarang dipinjam
Pulang pergi;49776;4;Sering dipinjam
Bungkam suara sebuah novel;49901;4;Sering dipinjam
Media pembelajaran digital;49851;6;Sering dipinjam
Strategi belajar mengajar;23327;1;Jarang dipinjam
Strategi belajar mengajar;60008;2;Jarang dipinjam
Strategi belajar mengajar di kelas;60163;2;Jarang dipinjam
Media pembelajaran;23132;4;Sering dipinjam
Media konvensional dan media online;48780;5;Sering dipinjam
Pedoman umum ejaan bahasa Indonesia yang disempurnakan & pedoman umum pembentukan istilah;19019;1;Jarang dipinjam
Teknik membaca;40931;1;Jarang dipinjam
DAUN YANG JATUH TAK PERNAH MEMBENCI ANGIN;50611;1;Jarang dipinjam
Teori Akuntansi;40762;3;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;2665,2;5;Sering dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27221;7;Sering dipinjam
A thousand stars for nathan;49350;4;Sering dipinjam
Vocabulary for daily conversation;22481;1;Jarang dipinjam
Santri pilihan bunda;50813;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248,3;5;Sering dipinjam
Pulang pergi;49778;4;Sering dipinjam
Stop menjadi manusia ! mainstream;49930;2;Jarang dipinjam
Pengembangan bahan ajar;48205;2;Jarang dipinjam
Pengembangan bahan ajar tematik;30365;2;Jarang dipinjam
Panduan kreatif membuat bahan ajar inovatif;37374;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;37434;2;Jarang dipinjam
SEMIOTIKA KAMUNIKASI APLIKASI PRAKTIS BAGI PENELITIAN DAN SKRIPSI KOMUNIKASI;40203;2;Jarang dipinjam
Sastra kita, kritik, dan lokalitas;30450;1;Jarang dipinjam
Metode penelitian sastra lisan;2875,1;1;Jarang dipinjam
Hukum administrasi negara;H004;9;Sering dipinjam
Pengantar Bisnis Ilmu Menjual;606,11;1;Jarang dipinjam
Bintang anak tuhan;22561;2;Jarang dipinjam
Padang bulan dan cinta didalam gelas;35366;1;Jarang dipinjam
Etika dan filsafat komunikasi;E005;1;Jarang dipinjam
ilmu komunikasi sebuah pengantar ringkas;39180;1;Jarang dipinjam
Yuni;48306;1;Jarang dipinjam
Pendidikan karakter dalam sastra indonesia;48515;4;Sering dipinjam
Manajemen operasional;015MHS3.1;3;Sering dipinjam
Memperkuat Kedaulatan Indonesia Di Laut Menuju Poros Maritim Dunia;44847;1;Jarang dipinjam
Budi daya Udang Windu;43452;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;18978;5;Sering dipinjam
Ilmu Lingkungan Edisi 2;44801;1;Jarang dipinjam
Akuntansi lingkungan & pengungkapannya;2196,5;2;Jarang dipinjam
Pembesaran belut di dalam tong & kolam terpal;362;1;Jarang dipinjam
Akuntansi sektor publik;378APBN3.4;5;Sering dipinjam
Kalimat Efektif;41601;1;Jarang dipinjam
Evaluasi hasil belajar matematika;47150;2;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32425;5;Sering dipinjam
Akuntansi manajemen jilid 2;2243,4;6;Sering dipinjam
Teori Akuntansi;42069;2;Jarang dipinjam
Akuntansi dasar 1 dan 2;40434;1;Jarang dipinjam
FILSAFAT UMUM;39970;1;Jarang dipinjam
Filsafat ilmu suatu kajian dalam dimensi ontologis, epistemologis, dan aksiologis;42044;1;Jarang dipinjam
Akuntansi perpajakan ed.2;32063;6;Sering dipinjam
Akuntansi perpajakan ed.2;32062;7;Sering dipinjam
akuntasi sektor publik;21676;2;Jarang dipinjam
Akuntansi sektor publik;17701;3;Sering dipinjam
Akuntansi sektor publik organisasi non laba EDISI 2;33170;1;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000144;7;Sering dipinjam
3 Kitab undang-undang hukum KUHPER KUHP KUHAP;49660;3;Sering dipinjam
3 Kitab undang-undang hukum KUHPER KUHP KUHAP;49661;4;Sering dipinjam
KITAB UNDANG UNDANG HUKUM PERDATA;15.222.1;2;Jarang dipinjam
KALIMAT EFEKTIF;727APBN3.5;1;Jarang dipinjam
Bukan siapa siapa;22147;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Akuntansi sektor publik;42244;5;Sering dipinjam
Pengantar manajemen;48207;2;Jarang dipinjam
Dasar-Dasar Penguasaan Pemrograman Web : Teori + Praktik (HTML, CSS, Javascript);45439;1;Jarang dipinjam
Easy grammar;24163;1;Jarang dipinjam
Cliffs toefl preparation guide;33653;1;Jarang dipinjam
TERORISME KANAN INDONESIA DINAMIKA DAN PENANGGULANGANYA;37990;1;Jarang dipinjam
cara mudah menguasai toefl;SM.371.01;1;Jarang dipinjam
Teori Akuntansi;684;1;Jarang dipinjam
Evaluasi hasil belajar;2399,5;1;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47698;3;Sering dipinjam
Sosiologi the key concept;15.62.2;1;Jarang dipinjam
Sosiologi Ekonomi;17647;1;Jarang dipinjam
Metodologi Penelitian Kualitatif Edisi Revisi;116sm3;1;Jarang dipinjam
Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;45427;4;Sering dipinjam
Metode penelitian & pengembangan research and development untuk bidang pendidikan, manajemen, sosial, teknik;46674;5;Sering dipinjam
akuntansi keuangan versi IFRS+;170;1;Jarang dipinjam
Bank dan lembaga keuangan lainnya;B221;1;Jarang dipinjam
Lembaga keuangan;48898;1;Jarang dipinjam
BANK DAN LEMBAGA KEUANGAN;5291;1;Jarang dipinjam
Lembaga keuangan;48899;1;Jarang dipinjam
SUARA SANG GURU;429;1;Jarang dipinjam
METODOLOGI PENELITIAN;21376;1;Jarang dipinjam
Metode penelitian kualitatif;22155;1;Jarang dipinjam
Dasar-dasar perbankan, ed revisi;32049;1;Jarang dipinjam
Bank dan lembaga keuangan lainnya;50226;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
Ajaran-ajaran para founding father dan orang-orang di sekitarnya;38550;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33975;5;Sering dipinjam
Bahasa indonesia;2088,2;2;Jarang dipinjam
Gramatika bahasa indonesia;32779;1;Jarang dipinjam
Pengajaran semantik;19334;1;Jarang dipinjam
Akuntansi pajak ed.6;18716;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.019;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000012;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000013;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.012;7;Sering dipinjam
Akuntansi sektor publik;34269;2;Jarang dipinjam
Auditing;49891;3;Sering dipinjam
Auditing buku 2;42358;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;1490,5;1;Jarang dipinjam
Metode Penelitian Bisnis;50329;3;Sering dipinjam
METODE PENELITIAN BISNIS;248PB3.2;1;Jarang dipinjam
Strategi pemasaran;2424,8;1;Jarang dipinjam
aku tahu aku gila;33732;1;Jarang dipinjam
Ilmu lingkungan;29047;1;Jarang dipinjam
Metode Riset sumber daya manusia;U0000642;1;Jarang dipinjam
Penelitian pendidikan;37152;2;Jarang dipinjam
Prinsip-prinsip pemasaran Jilid 2;2264,1;1;Jarang dipinjam
Akuntansi manajemen jilid 2;2243,1;5;Sering dipinjam
Hak atas tanah, hakmpengelolaan & hak milik atas satuan rumah susun;26949;1;Jarang dipinjam
Pengantar hukum sumber daya agraria;46907;1;Jarang dipinjam
Hak atas tanah, hakmpengelolaan & hak milik atas satuan rumah susun;26950;1;Jarang dipinjam
Hak atas tanah, hakmpengelolaan & hak milik atas satuan rumah susun;26947;1;Jarang dipinjam
PENGAJARAN PRAGMATIK;42455;1;Jarang dipinjam
Pragmatik kesantunana imperatif bahasa indonesia;13.128.;1;Jarang dipinjam
Diksi dan Gaya Bahasa;1125.3.1;1;Jarang dipinjam
MANAJEMEN PEMASARAN TEORI DAN APLIKASI DALAM BISNIS;13.032.114;1;Jarang dipinjam
Auditing jilid 1;322PB3.1;6;Sering dipinjam
Akuntansi perpajakan;1624,6;8;Sering dipinjam
Akuntansi manajemen teori dan aplikasi;49711;6;Sering dipinjam
Auditing buku 2;2631,2;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;41139;5;Sering dipinjam
metodologi penelitian sastra Epistemologi, model, teori dan aplikasi;19720;3;Sering dipinjam
Metodologi Penelitian Sosiologi Sastra;35082;2;Jarang dipinjam
Pengantar teori sastra;33733;1;Jarang dipinjam
Tes bahasa;20338;4;Sering dipinjam
Pragmatik kesantunana imperatif bahasa indonesia;447;2;Jarang dipinjam
KUHAP dan KUHP;49755;2;Jarang dipinjam
Hukum pidana dan kegiatan perekonomian : titik langsung perkara pidana dengan perkara perdata dan tindak pidana ekonomi;47298;1;Jarang dipinjam
KUHAP dan KUHP;49760;2;Jarang dipinjam
Teori Akuntansi;B00000565;2;Jarang dipinjam
Teori Akuntansi;40763;1;Jarang dipinjam
ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;45290;5;Sering dipinjam
Analisis wacana kajian teoritis dan praktis ed.2;49239;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Metodologi penelitian kualitatif;42444;1;Jarang dipinjam
Auditing jilid 1;35315;4;Sering dipinjam
Auditing jilid 1;21576;5;Sering dipinjam
Bahasa mandarin sehari- hari;19833;1;Jarang dipinjam
pesona bahasa langkah awal memahami linguistik;285;1;Jarang dipinjam
LINGUISTIK;42249;2;Jarang dipinjam
PENGAJARAN PRAGMATIK;738APBN3.4;3;Sering dipinjam
Pulang pergi;49777;4;Sering dipinjam
Sistem Penilaian Pembelajaran;44597;1;Jarang dipinjam
Dasar-dasar evaluasi pendidikan ED.2;37935;1;Jarang dipinjam
Laut bercerita;49872;6;Sering dipinjam
Evaluasi pembelajaran;42026;2;Jarang dipinjam
Asesmen pembelajaran bahasa;19779;1;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47699;4;Sering dipinjam
PENGEMBANGAN STRATEGI & MODEL PEMBELAJRAN;37062;2;Jarang dipinjam
Evaluasi Pembelajaran;45430;2;Jarang dipinjam
Evaluasi Pembelajaran;40453;2;Jarang dipinjam
EVALUASI PEMBELAJARAN;17618;5;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18979;6;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000145;6;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000141;7;Sering dipinjam
AKUNTANSI KOPERASI EIDISI 2;590,1;1;Jarang dipinjam
Penelitian Hukum Ed. Revisi;29451;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;24440;3;Sering dipinjam
Memahami penelitian kualitatif;33577;3;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;1490,3;3;Sering dipinjam
Berjuta rasanya;50637;6;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48188;5;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30909;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
TEORI PORTOFOLIO DAN ANALISIS INVESTASI, ED. 11;37541;1;Jarang dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;34295;5;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29387;5;Sering dipinjam
PENGANTAR EKONOMIKA MAKRO;24769;3;Sering dipinjam
Business ethics etika bisnis;21395;4;Sering dipinjam
Business ethics etika bisnis;29041;4;Sering dipinjam
Business ethics etika bisnis;42313;4;Sering dipinjam
Business ethics etika bisnis;18995;3;Sering dipinjam
Akuntansi perpajakan;1236.3.3;4;Sering dipinjam
Teori Akuntansi;B00000565;2;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27220;7;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40265;10;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410006;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410009;6;Sering dipinjam
Metodologi pembelajaran IPA;20295;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Akuntansi manajerial suatu orientasi praktis;42050;3;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18978;5;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248,5;4;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248,3;5;Sering dipinjam
Ekonomi makro;49195;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33972;4;Sering dipinjam
Dari penjara ke penjara;1693,1;1;Jarang dipinjam
"Database Systems; Case Study All in One";35640;1;Jarang dipinjam
Buku Mahir Web Programming;44082;1;Jarang dipinjam
Profesi keguruan;31146;1;Jarang dipinjam
Mahika;49920;8;Sering dipinjam
Senjata hebat para introver hal-hal yang dianggap;50709;4;Sering dipinjam
Never Give Up !;12,5941;1;Jarang dipinjam
Pada sebuah kapal;20381;1;Jarang dipinjam
Teori, metode dan teknik penelitian sastra;25401;1;Jarang dipinjam
Teori Kritik Sastra;17278;1;Jarang dipinjam
PRAGMATIK;970THP3.1;2;Jarang dipinjam
teori akuntasi suatu pengantar;24663;2;Jarang dipinjam
ACCOUNTING THEORI BUKU SATU;354APBN3.3;1;Jarang dipinjam
Teori akuntansi BUKU 1;34331;1;Jarang dipinjam
Menjadi guru penggerak merdeka pelajar;49790;2;Jarang dipinjam
Matahari minor;49942;4;Sering dipinjam
PENGAJARAN PRAGMATIK;31410;1;Jarang dipinjam
Analisis wacana pragmatik;832THP3.3;1;Jarang dipinjam
Hukum Acara PTUN (Edisi Ketiga);15.286.2;1;Jarang dipinjam
Hukum Pajak : Konsep, Aplikasi, dan Penuntun Praktis;40360;2;Jarang dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Mataraisa;50780;3;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178sm3;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50060;9;Sering dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
Media pembelajaran digital;49851;6;Sering dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;48155;2;Jarang dipinjam
Sosiologi dan antropologi agama;60933;1;Jarang dipinjam
Metode penelitian sosial;29361;1;Jarang dipinjam
Sosiologi suatu pengantar;220PB3.7;1;Jarang dipinjam
Statistika penelitian;27572;3;Sering dipinjam
EVALUASI PEMBELAJARAN;17618;5;Sering dipinjam
Evaluasi dan asesmen pembelajaran;47699;4;Sering dipinjam
Evaluasi pembelajaran;33620;3;Sering dipinjam
Santri pilihan bunda;50813;4;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30909;3;Sering dipinjam
Ilmu sosial budaya dasar;2635;1;Jarang dipinjam
Pengantar Ilmu antropologi;18239;1;Jarang dipinjam
Kualitas Pelayanan Publik;30196;1;Jarang dipinjam
The best english conversations;2779;1;Jarang dipinjam
Hukum Islam Ed. Revisi;26555;1;Jarang dipinjam
Hukum Islam Ed. Revisi;26557;1;Jarang dipinjam
Auditing dan Pelayanan Verifikasi Pendekatan Terpadu Ed 9;39024;2;Jarang dipinjam
Laskar Pelangi;494;1;Jarang dipinjam
Prinsi-prinsip penelitian bahasa & sastra;20756;1;Jarang dipinjam
Pengantar kajian sastra;1650;5;Sering dipinjam
metodologi penelitian sastra;249;2;Jarang dipinjam
Metodologi penelitian kualitatif;20558;2;Jarang dipinjam
PSIKOLOGI SASTRA;19292;2;Jarang dipinjam
Stilis tika pragmatis;102sm3;1;Jarang dipinjam
Auditing jilid 1;322PB3.2;2;Jarang dipinjam
Auditing jilid 1;21576;5;Sering dipinjam
Metode linguistik;18472;1;Jarang dipinjam
Metodologi penelitian pendidikan;40432;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;23126;5;Sering dipinjam
Metodologi penelitian kualitatif;20559;3;Sering dipinjam
APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25 ED.9;37065;1;Jarang dipinjam
68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;44291;1;Jarang dipinjam
Model pembelajaran kooperatif implementasi di sd;48692;1;Jarang dipinjam
Akuntansi keuangan lanjutan;41250;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.012;7;Sering dipinjam
Implementasi kurikulum merdeka;70160;1;Jarang dipinjam
Pengembangan bahan ajar;48257;2;Jarang dipinjam
MEDIA PEMBELAJARAN;60003;1;Jarang dipinjam
MEDIA PENDIDIKAN;15.26.1;1;Jarang dipinjam
PERANCANGAN MEDIA PEMBELAJARAN BERBASIS MULTI MEDIA;49302;1;Jarang dipinjam
Media pembelajaran;33596;3;Sering dipinjam
Metodologi pengajaran;1660;1;Jarang dipinjam
Konsep dan Aplikasi Bahasa Indonesia Untuk Perguruan Tinggi;44117;1;Jarang dipinjam
Sagaras;49978;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;28378;6;Sering dipinjam
Penelitian pendidikan;37366;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
