Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
Azas dan dasar Perpajakan 1 edisi revisi;336;Ilmu-ilmu sosial;<U00300021><U00300022><U00300023><U00300024><U00300025><40525><40570><40571>
Pratikum perpajakan;336;Ilmu-ilmu sosial;<1368.3.1><1368.3.2><1368.3.3><1368.3.4><1368.3.5><1368.3.6><28607><28608><28609><28610><28611><28612>
Perpajakan di Indonesia;336;Ilmu-ilmu sosial;<1245.3.1>
Perencanaan pajak;336;Ilmu-ilmu sosial;<18729><18730><18731>
DASAR-DASAR PERPAJAKAN & AKUNTANSI PAJAK;336;Ilmu-ilmu sosial;<054>
Perpajakan Indonesia mekanisme perhitungan;336;Ilmu-ilmu sosial;<2750.1>
Perpajakan: Teori dan Kasus buku 1;336;Ilmu-ilmu sosial;<1005.3.1><1005.3.2><1005.3.3><1005.3.4><34310><28802><28803><28804>
Perpajakan Indonesia : Buku 2;336;Ilmu-ilmu sosial;<50222>
Kompilasi undang-undang perpajakan terlengkap;336;Ilmu-ilmu sosial;<2210.1><2210.2><2210.3><2210.4><2210.5>
Perpajakan  edisi revisi;336;Ilmu-ilmu sosial;<41244>
Ppsp penagihan pajak dengan surat paksa;336;Ilmu-ilmu sosial;<142>
Rahasia langkah-langkah jitu-jitu menggunakan MYOB Accounting;5;Karya umum;<1445.3.1><1445.3.2><1445.3.3><1445.3.4><1445.3.5><1445.3.6><31857><31858><31859><31860><31861>
THE ABC'S OF GETTING OUT OF DEBT;336;Ilmu-ilmu sosial;<50345>
Panduan lenkap pajak penghasilan;336;Ilmu-ilmu sosial;<41227>
Dimensi interaksi aktor dalam proses perumusan kebijakan publik;336;Ilmu-ilmu sosial;<22468>
Kebijakan publik berbasis dynamic polocy analysis;336;Ilmu-ilmu sosial;<2610.1>
Perpajakan di indonesia;336;Ilmu-ilmu sosial;<22598>
TAX AUDIT DAN TAX REVIEW;336;Ilmu-ilmu sosial;<15.75.1><15.75.2>
HAK TAGIH FACTOR ATAS PIUTANG DAGANG;336;Ilmu-ilmu sosial;<15.419.11><15.419.12>
Perpajakan Brevet A dan B;336;Ilmu-ilmu sosial;<140.1><13.402.><503><402.2><42084>
Cermat menguasai seluk beluk perpajakan Indonesia;336;Ilmu-ilmu sosial;<2652.1>
Perpajakan edisi terbaru 2018;336;Ilmu-ilmu sosial;<18860><18861><18862><37208><37705><37729><37762><37793>
Metamorfosa bursa efek;333;Ilmu-ilmu sosial;<593SM3>
KEBIJAKAN PERPAJAKAN BAGI KOPERASI DAN UKM;336;Ilmu-ilmu sosial;<554.21>
KEJAHATAN DIBIDANG PERPAJAKAN;336;Ilmu-ilmu sosial;<15.157.1><15.157.2><42086>
PANDUAN PRAKTIS PERHITUNGAN PELAPORAN DAN PENYETORAN PAJAK PENGHASILAN UNTUK UMKM;336;Ilmu-ilmu sosial;<50370>
CARA MUDAH MEMAHAMI KETENTUAN UMUM DAN TATA CARA PERPAJAKAN (KUP);336;Ilmu-ilmu sosial;<456.11>
Dasar-dasar penagihan pajak dengan surat paksa juru sita pajak;336;Ilmu-ilmu sosial;<248>
MANAJEMEN KEUANGAN DESA;336;Ilmu-ilmu sosial;<17691>
Apa yang dilakukan pemerintah terhadap uang kita?;336;Ilmu-ilmu sosial;<21191>
TAXTION OF EPATRIATE EMPLOYEE;336;Ilmu-ilmu sosial;<15.73.1><15.73.2>
Peraturan perundang-undangan ketentuan umum & tata cara perpajakan;336;Ilmu-ilmu sosial;<1277.3.1>
17 JURUS MEMPELAJARI MYOB ACCOUNTING 17;657;Ilmu-ilmu terapan;<426APBN3.1><426APBN3.2><426APBN3.3><426APBN3.4><426APBN3.5><42293><34055><34056><34057><34058><34059><34060><34061><34062><34063><34064><24719><24720><24721><28247><28248><28249><28256>
Pemotongan pemungutan PPH pasal 25/29;336;Ilmu-ilmu sosial;<40519><24645><24646><24647><24648><24649>
CARA MUDAH MENGHITUNG PAJAK PENGHASILAN ANDA;336;Ilmu-ilmu sosial;<29454>
POKOK-POKOK PAJAK PERTAMBAHAN NILAI;336;Ilmu-ilmu sosial;<15.681.1><15.681.2><40872><41216>
Teori harga dan penerapannya ed 3;333;Ilmu-ilmu sosial;<333.0011>
MASALAH AGRARIA;333;Ilmu-ilmu sosial;<5831>
Energi Sumber Daya, Inovasi, Tenaga Listrik dan Potensi Ekonomi;333;Ilmu-ilmu sosial;<29575>
Panduan mangurus sertifikat tanah;333;Ilmu-ilmu sosial;<22419>
Pengantar ekonomi syariah teori dan praktik;330;Ilmu-ilmu sosial;<1478.1>
PELESTARIAN DAN PENGELOLAAN SUMBER DAYA ALAM DI WILAYAH PESISIR TRIPIS;334;Ilmu-ilmu sosial;<1196.3.1>
Stannum Sn (Timah);333;Ilmu-ilmu sosial;<20953>
Marine Conservation Biology The Science of Maintaining The Sea's Biodiversity;334;Ilmu-ilmu sosial;<12.237.1><21215>
Membumikan konsepsi IWRM di Indonesia;333;Ilmu-ilmu sosial;<2731.1><2731.2>
Hukum agraria Indonesia Jilid I;334;Ilmu-ilmu sosial;<117PB3.1><117PB3.2><117PB3.3><33787>
Pendaftaran dan Peralihan Hak atas Tanah;333;Ilmu-ilmu sosial;<15.465.1><15.465.2>
Peralihan Hak Atas Tanah dan Pendaftarannya;346;Ilmu-ilmu sosial;<15.332.1><15.332.2>
PENGANTAR EKONOMI LINGKUNGAN;333;Ilmu-ilmu sosial;<633APBN3.1><32882>
Perpajakan edisi terbaru 2016;336;Ilmu-ilmu sosial;<2266.1><2266.2><2266.3><2266.4><2266.5><2266.6><2266.7><17168><17534><17550><31851><31852><31853><31854><31855><31856><42719><21441><37638><37691>
Perpajakan Indonesia;336;Ilmu-ilmu sosial;<1462.3.6><1462.3.5><1462.3.4><1462.3.3><1462.3.2><1462.3.1><40037><42711><28542>
Peraturan perpajakan (buku dua);336;Ilmu-ilmu sosial;<22476><34517><34518><34641><34642><24313>
Bunga rampai perpajakan;336;Ilmu-ilmu sosial;<42658><42659><42660><42661><42662><42663><42664><42665><42666><42667>
Ekonomi uang dan bank;334;Ilmu-ilmu sosial;<340PB3.1>
Koperasi;334;Ilmu-ilmu sosial;<059PB3.1>
Pedoman Standar Operasi Manajemen Koperasi Simpan pinjam dan unit simpan pinjam koperasi;334;Ilmu-ilmu sosial;<450.31>
MANAJEMEN KOPERASI;334;Ilmu-ilmu sosial;<21133>
Pejabat pembuat akta tanah;333;Ilmu-ilmu sosial;<27134><27135><27136><27137><27138><27139><27140><27141>
Pembangunan Kelautan dan Kewilayahan;334;Ilmu-ilmu sosial;<U00400221><U00400222><U00400223><U00400224><U00400225><U00400226>
Pembangunan Kelautan dan Kewilayahan;334;Ilmu-ilmu sosial;<1183.3.1><1183.3.2><1183.3.3><1183.3.4><1183.3.5><1584.1><38475>
LAND REFORM & GERAKAN AGRARIA INDONESIA;333;Ilmu-ilmu sosial;<25759><25760><25761><25762><25763><25764>
Peran kelompok ornop dalam pengelolaan konflik sda di daerah kalimantan barat dan bangka belitung;334;Ilmu-ilmu sosial;<28975>
Partisipasi masyarakat dan pengelolaan sumber daya air di jepang;334;Ilmu-ilmu sosial;<27549><27550><27551><27552><27553><27554>
Koperasi dan perekonomian indonesia;334;Ilmu-ilmu sosial;<22396>
Paradigma pengembangan maritim dan energi;334;Ilmu-ilmu sosial;<27095><27096><27097><27098><27099><27100>
PERTANAHAN,AGRARIA, DAN TATA RUANG;333;Ilmu-ilmu sosial;<25593><25594><25595><25596><26451><26452><26453><26454>
A to Z  budi daya biota akuitik untuk pangan, kosmetik dan obat-obatan;333;Ilmu-ilmu sosial;<SM.368.11><368><035.1><29837>
Berani bermain saham;333;Ilmu-ilmu sosial;<1825.1><1825.2>
Penyelesaian Pembiayaan Bermasalah di Bank Syariah;297;Agama;<15.381.1><15.381.2>
Amandemen UU Bank Indonesia 2004;348;Ilmu-ilmu sosial;<15.206.1><15.206.2>
The tao of bandarmonology;332;Ilmu-ilmu sosial;<17192><17193>
PENGEMBANGAN KURIKULUM PDDKN AGAMA ISLAM;297;Agama;<15.35.1><15.35.2>
Memahami bisnis bank;659;Ilmu-ilmu terapan;<BIC143><42334>
Memahami bisnis bank : modul sertifikasi tingkat 1 general banking;332;Ilmu-ilmu sosial;<MB000011><MB000012>
Undang-undang pajak lengkap tahun 2014;336;Ilmu-ilmu sosial;<1396.3.2><1396.3.1><1396.3.3><1396.3.4><1396.3.5><1396.3.6><50373><41152><32868><32869><32870><33829>
Hukum Ekonomi Islam: Sejarah, Teori, dan Konsep;297;Agama;<15.290.1><15.290.2>
Penerapan Hukum Perjanjian dalam Transaksi di Lembaga Keuangan Syariah;297;Agama;<15.328.1><15.328.2>
Cara mudah menghitung PPh badan dengan undang-undang Pajak;336;Ilmu-ilmu sosial;<C0078001><371.1>
Cara Mudah Menghitung PPh Badan Dengan Undang-Undang Pajak Terbaru;336;Ilmu-ilmu sosial;<15.555.1><15.555.2>
PERPAJAKAN EDISI REVISI 2009;336;Ilmu-ilmu sosial;<421APBN3.1><421APBN3.2><421APBN3.3><421APBN3.4><421APBN3.5><421PB3.6><421MHS3.7><40008><32880><50518><50519><50520><50521><33531><33532><33533><34135><34136><34137><34138><34139><34140><34141><42720><21448><21832><28577><28578><28579><36290><37803>
Aspek Hukum dalam Penyelenggaraan Investasi di Pasar Modal Syariah Indonesia;332;Ilmu-ilmu sosial;<15.398.1><15.398.2>
dasar dan prinsip pengawasan bank;332;Ilmu-ilmu sosial;<SM.2791><234.00>
JANGAN INVESTASI EMAS SEBELUM BACA BUKU INI;332;Ilmu-ilmu sosial;<7371><60055>
Pemanfaatan Penundaan Kewajiban Pembayaran Utang;346;Ilmu-ilmu sosial;<15.464.1><15.464.2>
Praktik-Praktik Proteksi Sistem Tenaga Listrik;621;Ilmu-ilmu terapan;<15.587.1><15.587.2><36684>
Pasar Modal Syariah;658;Ilmu-ilmu terapan;<15.321.1><15.321.2><40694><40914><32735>
Analisis laporan keuangan perbankan syaariah;332;Ilmu-ilmu sosial;<32677><32678>
Tiga Kategori Hukum: Syariat, Fikih, dan Kanun;297;Agama;<15.341.1><15.341.2>
Pengantar perbankan teori dan aplikasi;332;Ilmu-ilmu sosial;<BIC122><537sm3><2010.1>
INVESTASI SAHAM ALA SWING TRADER DUNIA;333;Ilmu-ilmu sosial;<401.21><401>
Dasar-dasar perbankan;332;Ilmu-ilmu sosial;<41920><41921><41922><41923>
Hukum Bisnis pasar modal;333;Ilmu-ilmu sosial;<300.011><557>
Hukum Bisnis Pasar Modal;333;Ilmu-ilmu sosial;<15.566.1><15.566.2><32106><32107>
CSR&COMDEV INVESTASI KREATIF PERUSAHAAN DI ERA GLOBALISASI;332;Ilmu-ilmu sosial;<403APBN3.1><403APBN3.2><403APBN3.3><403APBN3.4><403APBN3.5><40005><40583><40584><40585><40586><40587><40588><32405><21495>
Manajemen Perbankan Edisi Revisi;332;Ilmu-ilmu sosial;<U00300011><U00300012><U00300013><U00300014><U00300015>
Dasar-dasar perbankan, ed revisi;332;Ilmu-ilmu sosial;<32048><32049><55002>
Dasar-dasar perbankan;332;Ilmu-ilmu sosial;<BIC92><2785.1><17540><17363><40403>
ANALISIS INVESTASI DALAM PERSPEKTIF EKONOMI DAN POLITIK;333;Ilmu-ilmu sosial;<681APBN3.1><681APBN3.2><32703><32704><41273>
CASE IN FINANCE KASUS-KASUS KEUANGAN;332;Ilmu-ilmu sosial;<50491><50492><50493><42240><42241><42533><42534>
TEKNIK PERHITUNGAN BAGI HASIL DAN PRICING DI BANK SYARIAH;332;Ilmu-ilmu sosial;<955APBN3.1><955APBN3.2><955APBN3.3><955APBN3.4><955APBN3.5><20208>
The problem with interest;332;Ilmu-ilmu sosial;<218PB3.1><218PB3.2><218PB3.3><218PB3.4><218PB3.5>
LANDSCAPE KEBANKSENTRALAN INDONESIA;332;Ilmu-ilmu sosial;<1409.3.1><1409.3.2><1409.3.3><1409.3.4><1409.3.5><1409.3.6>
Landscape kebansentralan Indonesia;332;Ilmu-ilmu sosial;<13.010.11><13.010.12><13.010.13><13.010.14><13.010.15><13.010.16><13.010.17><13.010.18><13.010.19><13.010.110><13.010.111><13.010.112><13.010.113><13.010.114><13.010.115><13.010.116><13.010.117><13.010.118><13.010.119><13.010.120><13.010.121><13.010.122><13.010.123><13.010.124><18394><30877><30878><30879><30880><30881><30882><34371><34372><34373><34374><34375><34376><34377><34378><34379><34380><34381><34382><34383><34384><34385><34386><34387><34388><24254><24255><24256><24257><24616><24623>
ANALISA KRITIS LAPORAN KEUANGAN BANK SENTRAL ASEAN, ASIA, DAN EROPA;332;Ilmu-ilmu sosial;<1425.3.1><1425.3.2><1425.3.3><1425.3.4><1425.3.5><1425.3.6>
ANALISA KRITIS LAPORAN KEUANGAN BANK SENTRAL ASEAN, ASIA, DAN EROPA;332;Ilmu-ilmu sosial;<13.060.11><13.060.12><13.060.13><13.060.14><13.060.15><13.060.16><13.060.17><13.060.18><13.060.19><13.060.110><13.060.111><13.060.112><13.060.113><13.060.114><13.060.115><13.060.116><13.060.117><13.060.118><13.060.119><13.060.120><18656><34595><34596><34597><34598><34599><34600><34601><34602><34603><34604><34605><34606><34607><34608><34609><34610><34611><34612><34613><34614><34615><34616><34617><34618><34619><34620><34621><34622><34623>
BANK DAN LEMBAGA KEUANGAN;332;Ilmu-ilmu sosial;<5291><528><42331><42360>
Memahami audit intern bank;332;Ilmu-ilmu sosial;<BIC75><41957>
Praktek cornering;333;Ilmu-ilmu sosial;<2082.1>
TEORI DAN PRAKTEK KEUANGAN MIKRO DAN INDONESIA;332;Ilmu-ilmu sosial;<50386>
Memilih bank yang sehat;332;Ilmu-ilmu sosial;<092APBN3.1>
sales gurus speak out;332;Ilmu-ilmu sosial;<10011>
Manajemen sumber daya alam & lingkungan;334;Ilmu-ilmu sosial;<2448.1><2448.2>
TIPU MUSLIHAT MENGHAPUS BLBI FAKTA SEJARAH;332;Ilmu-ilmu sosial;<258.21>
Investasi Emas;332;Ilmu-ilmu sosial;<566SM3>
CREDIT TOP SECRET;333;Ilmu-ilmu sosial;<37115>
Buku pintar pengelolaan BPR dan lembaga keuangan pembiayaan Mikro;332;Ilmu-ilmu sosial;<40860>
Mengelola Kualitas Layanan Perbankan;332;Ilmu-ilmu sosial;<17542>
KONSOLIDASI PERBANKAN NASIONAL;332;Ilmu-ilmu sosial;<635APBN3.1><635APBN3.2><50309><41154><32702>
Shopping saham modal sejuta (dari nol sampai mahir);333;Ilmu-ilmu sosial;<22028>
Shopping saham modal sejuta (dari nol sampai mahir);333;Ilmu-ilmu sosial;<34224>
Dasar-Dasar Perkreditan;333;Ilmu-ilmu sosial;<587.11>
MAIN SAHAM UNTUK KARYAWAN KECIL;333;Ilmu-ilmu sosial;<21496>
PANDUAN PRAKTIS BERMAIN SAHAM;333;Ilmu-ilmu sosial;<6831>
OBLIGASI REKAPITULASI PERBANKAN;332;Ilmu-ilmu sosial;<2511>
Manajemen perbankan;332;Ilmu-ilmu sosial;<22428>
Asuransi dan usaha perasuransian di indonesia;332;Ilmu-ilmu sosial;<22432>
WHO WANTS TO BE AN IRRATIONAL INVESTOR;333;Ilmu-ilmu sosial;<244.3>
Anti Rugi dengan Berinvestasi Emas sederhana, mudah dan untung luar biasa;333;Ilmu-ilmu sosial;<0891><459.1><50321><22264>
keuangan dan investasi syariah;333;Ilmu-ilmu sosial;<847MHS3.1>
tanggung jawab direksi atas kepailitan perseroan;332;Ilmu-ilmu sosial;<13.015>
tanggung jawab pemegang saham, direksi, & komisaris perseroan terbatas;332;Ilmu-ilmu sosial;<1249.3.1>
Financial markets and institutions;332;Ilmu-ilmu sosial;<27748>
PENGANTAR HUKUM INDONESIA;340;Ilmu-ilmu sosial;<15.5.1><15.5.2>
THE RULES OF WEALTH;333;Ilmu-ilmu sosial;<2041.1>
Bank dan lembaga keuagan lain;332;Ilmu-ilmu sosial;<2499.1>
real estate finance and investments;332;Ilmu-ilmu sosial;<28009>
THE MAGIC NOTEBOOK TO RAISE INVESTORS;333;Ilmu-ilmu sosial;<50377>
BANK DAN LEMBAGA KEUANGAN LAIN;332;Ilmu-ilmu sosial;<50592>
Pengelolaan pendapatan&anggaran daerah;332;Ilmu-ilmu sosial;<22117>
akad dan produk bank syariah;332;Ilmu-ilmu sosial;<13.013.1>
Strategi bisnis bank syariah;332;Ilmu-ilmu sosial;<BIC99><40960>
Profit from the panic: cara memperoleh keuntungan dari krisis keuangan terburuk sejak great depression;333;Ilmu-ilmu sosial;<P0011001>
Bank & lembaga keuangan lainnya;332;Ilmu-ilmu sosial;<377sm3>
Demokrasi & tatanan global;330;Ilmu-ilmu sosial;<1822.1>
MEMBANGUN EKONOMI KOMPARATIF;330;Ilmu-ilmu sosial;<29247>
Membangun Ekonomi Komparatif;330;Ilmu-ilmu sosial;<575.21><24055><24056><24143>
Ekonometrika terapan: Teori & aplikasi dengan spss;330;Ilmu-ilmu sosial;<1682.1>
EKONOMI ISLAM;330;Ilmu-ilmu sosial;<29248>
MATEMATIKA EKONOMI;330;Ilmu-ilmu sosial;<24242><24243><24244><24275><28218>
Matematika ekonomi & bisnis buku 2;330;Ilmu-ilmu sosial;<28130>
KAJIAN PELAKSANAAN PEMBERDAYAAN MASYARAKAT MELALUI PNPM MANDIRI;330;Ilmu-ilmu sosial;<06.11>
MPR perkembangan dan pertumbuhannya suatu pengamatan dan analisis;328;Ilmu-ilmu sosial;<22464>
Pengantar Ekonometri;360;Ilmu-ilmu sosial;<7291><22050><29260><29261><29262>
TEORI MIKROEKONOMI EDISI KETIGA;330;Ilmu-ilmu sosial;<030.11>
sistem ekonomi indonesia;330;Ilmu-ilmu sosial;<12.48.21><047.00>
Ekonomi Kita-kita;330;Ilmu-ilmu sosial;<0811>
Strategi bagaimana meraih keunggulan kompetitif?;330;Ilmu-ilmu sosial;<282.1>
Pedoman umum EYD ejaan yang disempurnakan plus pantun & peribahasa;410;Bahasa;<646.4SM>
MUSIM SEMI PEREKONOMIAN INDONESIA;330;Ilmu-ilmu sosial;<0521>
Copycats mengasah ketajaman strategi bisnis dengan meniru;330;Ilmu-ilmu sosial;<CO000011>
Komunikasi massa;330;Ilmu-ilmu sosial;<K041>
Metodologi Penelitian Pendekatan Praktis dalam Penelitian;330;Ilmu-ilmu sosial;<492.1>
Pembangunan ekonomi di dunia ketiga Jilid 2;330;Ilmu-ilmu sosial;<307PB3.1><307PB3.2><307PB3.3><2268.1><2268.2><2268.3><2268.4><2268.5>
Metodologi penelitian ilmu pendidikan dan ilmu-ilmu pengetahuan sosial;330;Ilmu-ilmu sosial;<624SM3><625SM3>
Metodologi penelitian ilmu pendidikan dan ilmu-ilmu pengetahuan sosial;1;Karya umum;<M001001><M001002><254.01><33011><33012><22112><42245><35619><35620>
ANALISIS LAPORAN KEUANGAN UNTUK BISNIS;657;Ilmu-ilmu terapan;<50325>
PEMBERDAYAAN USAHA EKONOMI MASYARAKAT;330;Ilmu-ilmu sosial;<7031>
Metode Riset untuk Bisnis & Ekonomi;330;Ilmu-ilmu sosial;<205.1><32462>
WAJAH PEREKONOMIAN INDONESIA DAN PROSPEKNYA;330;Ilmu-ilmu sosial;<601.11>
kiat-kiat mengatasi ancaman kebangkrutan;330;Ilmu-ilmu sosial;<12.107.1>
PASAR FINANSIAL DAN LEMBAGA-LEMBAGA FINANSIAL;332;Ilmu-ilmu sosial;<302.11><302><50497>
ASPEK HUKUM INTERNET BANKING;332;Ilmu-ilmu sosial;<15.127.1><15.127.2>
Hukum Pasar Modal di Indonesia;346;Ilmu-ilmu sosial;<15.300.1><15.300.2>
Penyelesaian Sengketa Perbankan Syariah di PA & Mahkamah Syar'iyah;347;Ilmu-ilmu sosial;<15.473.1><15.473.2>
UU Usaha Mikro, Kecil, dan Menengah;348;Ilmu-ilmu sosial;<15.260.1><15.260.2>
UUD RI NO 17 THN 2012 tentang Perkoperasian & UUD RI NO 20 THN 2008 tentang Usaha Mikro, Kecil, dan Menegah;348;Ilmu-ilmu sosial;<36413>
Hukum Investasi dan Pasar Modal;346;Ilmu-ilmu sosial;<15.293.1><15.293.2>
Siasat investasi cerdik;333;Ilmu-ilmu sosial;<40930><22046>
Investments investasi buku 2;333;Ilmu-ilmu sosial;<42910><42911><28800>
Personal finance building your future;332;Ilmu-ilmu sosial;<25956><25957>
Who wants to be a smiling investor;333;Ilmu-ilmu sosial;<BIC16><29250><29251>
Penerapan Good Corporate Governance;658;Ilmu-ilmu terapan;<15.467.1><15.467.2>
KAYA DARI BERMAIN OPSI DI BURSA SAHAM;333;Ilmu-ilmu sosial;<3511>
Investing basic: mendapatkan yang terbaik dari investasi anda;333;Ilmu-ilmu sosial;<332.6>
Penyelesaian Sengketa Kepailitan di Indonesia;346;Ilmu-ilmu sosial;<15.474.1><15.474.2>
Pasar modal Indonesia menjadi bursa kelas dunia;333;Ilmu-ilmu sosial;<157.1>
EFEKTIF BERMAIN SAHAM;333;Ilmu-ilmu sosial;<29309>
FINANCIAL MANAGEMENT;332;Ilmu-ilmu sosial;<50311><35660>
cara cepat investasi saham;333;Ilmu-ilmu sosial;<332>
cara pintar memilih & mengajukan kredit;333;Ilmu-ilmu sosial;<439>
hak dan kewajiban hukum nasabah bank;332;Ilmu-ilmu sosial;<SM.113.01>
40 saham terbaik untuk dibeli di tahun 2017;333;Ilmu-ilmu sosial;<40862>
Analisis laporan keuangan pendekatan rasio keuangan;332;Ilmu-ilmu sosial;<746sm3>
Investasi valuta asing;332;Ilmu-ilmu sosial;<2707.1>
Ekonomi moneter & kebanksentralan;332;Ilmu-ilmu sosial;<347sm3>
Jangan Investasi Dinar Sebelum baca Buku ini;333;Ilmu-ilmu sosial;<515.011>
Dasar-dasar perbankan;332;Ilmu-ilmu sosial;<307sm3>
Cara gampang bermain saham;333;Ilmu-ilmu sosial;<19495>
Kaya dari bermain saham;333;Ilmu-ilmu sosial;<22029>
Penyelesaian sengketa dalam praktik perbankan Syariah;332;Ilmu-ilmu sosial;<PS0000111>
EKONOMI KOPERASI;334;Ilmu-ilmu sosial;<E089><408APBN3.1><408APBN3.2><408APBN3.3><408APBN3.4><408APBN3.5><31973><31974><31975><31976><31978><31979><31977><31980><31981><31982><31983>
POKOK-POKOK MANAJEMEN RISIKO DAN ASURANSI;332;Ilmu-ilmu sosial;<21132>
LANGKAH AWAL BERINVESTASI REKSA DANA;332;Ilmu-ilmu sosial;<529.11>
PROFIT BERLIPAT DENGAN INVESTASI TANAH DAN RUMAH;333;Ilmu-ilmu sosial;<531>
Dasar-dasar investasi obligasi;333;Ilmu-ilmu sosial;<156.1>
Menabung dari gelandangan menjadi agen koran dengan penghasilan Rp.14 juta/bulan;332;Ilmu-ilmu sosial;<777.1SM>
pokok-pokok operational dan financial auditing;332;Ilmu-ilmu sosial;<1571>
101 PENYAKIT TERPARAH DALAM BISNIS SERTA SOLUSINYA;332;Ilmu-ilmu sosial;<355.11>
Cara sehat investasi di pasar modal;333;Ilmu-ilmu sosial;<21048><50307>
Investments investasi buku 1;332;Ilmu-ilmu sosial;<22708>
KEUANGAN INTERNASIONAL BUKU 1;332;Ilmu-ilmu sosial;<437APBN3.1><437APBN3.2><437APBN3.3><437APBN3.4><437APBN3.5><40779><40780><40781><40782><40783><40784><40785><34052><34053>
Bank dan lembaga keuangan lainnya;332;Ilmu-ilmu sosial;<B221><42332>
Mengelola bank syariah;332;Ilmu-ilmu sosial;<503sm3><506sm3><40949>
Perbankan Syariah;332;Ilmu-ilmu sosial;<356.1>
Perbankan Syariah;332;Ilmu-ilmu sosial;<15.512.1><15.512.2>
Pratical bank letter writing menulis surat perbankan praktis;332;Ilmu-ilmu sosial;<2278.1><2278.2><2278.3><2278.4><2278.5>
Administrasi bank manual operasional kantor cabang;332;Ilmu-ilmu sosial;<2249.1><2249.2><2249.3><2249.4><2249.5>
ANALISIS TEKNIKAL  MODERN PADA PERDAGANGAN SEKURITAS;332;Ilmu-ilmu sosial;<52511>
ANALISIS TEKNIKAL MODERN PADA PERDAGANGAN SEKURITAS;333;Ilmu-ilmu sosial;<12.544.1><12.544.2>
ANALISIS TEKNIKAL MODERN PADA PERDAGANGAN SEKURITAS;333;Ilmu-ilmu sosial;<397APBN3.1><397APBN3.2><397APBN3.3><397APBN3.4><397APBN3.5><41555><41556><41557><41558><41559><41560><41561><41562><41563><41564><28581><28582>
Jurus-jurus berinvestasi saham untuk pemula;332;Ilmu-ilmu sosial;<507.011><323><35520>
Membaca Saham;333;Ilmu-ilmu sosial;<064MHS3.1>
Membaca Saham;333;Ilmu-ilmu sosial;<478.0021><478>
MENGELOLA DAN MENGEMBANGKAN SUMBER DAYA MANUSIA DALAM PERSAINGAN GLOBAL;331;Ilmu-ilmu sosial;<1398.3.1><1398.3.2><1398.3.3><1398.3.4><1398.3.5><1398.3.6>
Guru profesional;331;Ilmu-ilmu sosial;<472APBN3.1><472APBN3.2><472APBN3.3><472APBN3.4><472APBN3.5><18460><18461><18467><18468><19648><19649><19650><19651><19652><19653><19654><19655><19656><19657><19732><19733><19734><18607><18608><18609><18610><18612><18613><18614><18615><18616><18617><18618><18619><18620><30187><21528>
Cara cerdas berinvestasi saham;332;Ilmu-ilmu sosial;<CB00001><60066><60146>
Hubungan industrial;330;Ilmu-ilmu sosial;<2578.1>
PROFESSIONAL INVESTING;333;Ilmu-ilmu sosial;<281><41989><41990>
PROFESIONAL INVESTING 10 ATURAN TERSUKSES INVESTASI SAHAM;333;Ilmu-ilmu sosial;<280.11><31749>
Bank Syariah;332;Ilmu-ilmu sosial;<U00020041><U00020042><U00020043><U00020044><21394><21463><21464>
Bank dan lembaga keuangan lainnya;332;Ilmu-ilmu sosial;<BIC35><206PB3.1><206PB3.2><206PB3.3><206PB3.4><206PB3.5><50226><50227>
Panduan berinvestasi saham;332;Ilmu-ilmu sosial;<510.2><510.1><704><32764><32765>
Buku pintar perbankan dilengkap dengan studi kasus dan kamus istilah perbankan;332;Ilmu-ilmu sosial;<435.011>
Buku pintar perbankan dilengkap dengan studi kasus dan kamus istilah perbankan;332;Ilmu-ilmu sosial;<337sm3><385APBN3.1><385APBN3.2><385APBN3.3><385APBN3.4><385APBN3.5><31713><31714><40021><40022><40040><40041><40042><40051><21458><27909><27910><28583>
Manajemen Perbankan Edisi Revisi;332;Ilmu-ilmu sosial;<647SM3>
Managing human resources;331;Ilmu-ilmu sosial;<22575><42915><24680><24746>
INDONESIA BANGKIT;331;Ilmu-ilmu sosial;<29477>
GLOBALISASI INDUSTRI MICE;331;Ilmu-ilmu sosial;<35448>
TEKNIK MENJUAL DIRI DALAM MEREBUT LOWONGAN KERJA;331;Ilmu-ilmu sosial;<21547>
EKONOMI SUMBER DAYA MANUSIA;331;Ilmu-ilmu sosial;<2961><40873>
Masa depan ekonomi indonesia;331;Ilmu-ilmu sosial;<22592>
Aktiva derivatif;331;Ilmu-ilmu sosial;<22030>
Cara Cepat Mendapat Pekerjaan;331;Ilmu-ilmu sosial;<1147.3.1>
Persiapan terpadu menghadapi tes CPNS, BUMN dan Perusahaan swasta;331;Ilmu-ilmu sosial;<219PB3.1><219PB3.2><219PB3.3><219PB3.4>
HIMPUNAN PUTUSAN MAHKAMAH AGUNG DALAM PERKARA;340;Ilmu-ilmu sosial;<15.140.1><15.140.2>
Manajemen sumber daya manusia;331;Ilmu-ilmu sosial;<302sm3><411sm3><031.1><1712.1><33740><28889><29560><37673>
EKONOMI INDUSTRI;330;Ilmu-ilmu sosial;<29264>
KAIDAH PENEMUAN HUKUM YURISPRUDENSI BIDANG HUKUM PERDATA;340;Ilmu-ilmu sosial;<15.442.1><15.442.2>
Studi sistem hukum Indonesia;340;Ilmu-ilmu sosial;<U00010111><U00010112>
